"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SPIR","Spire Corporation","1.43","11959090","1983","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPIR&selected=SPIR",
"SAVE","Spirit Airlines, Inc.","11.61","841643730","n/a","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SAVE&selected=SAVE",
"SPCHA","Sport Chalet, Inc.","1.9699","24454338.6","n/a","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPCHA&selected=SPCHA",
"SPCHB","Sport Chalet, Inc.","2.21","3924960","n/a","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPCHB&selected=SPCHB",
"SPRD","Spreadtrum Communications, Inc.","14.65","710627550","2007","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPRD&selected=SPRD",
"SPSC","SPS Commerce, Inc.","17.68","210338960","2010","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPSC&selected=SPSC",
"STRC","SRI/Surgical Express, Inc.","3.83","24906490","1996","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STRC&selected=STRC",
"SRSL","SRS Labs, Inc.","8.12","121044840","1996","Miscellaneous","Multi-Sector Companies","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SRSL&selected=SRSL",
"SSNC","SS&C Technologies Holdings, Inc.","17.35","1313846100","1996","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SSNC&selected=SSNC",
"STAA","STAAR Surgical Company","5.79","205788180","1983","Health Care","Ophthalmic Goods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STAA&selected=STAA",
"STMP","Stamps.com Inc.","16.73","239908200","1999","Consumer Services","Catalog/Specialty Distribution","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STMP&selected=STMP",
"STND","Standard Financial Corp.","15.02","52239560","2010","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STND&selected=STND",
"SMSC","Standard Microsystems Corporation","21.12","485992320","1972","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SMSC&selected=SMSC",
"STAN","Standard Parking Corporation","16.13","255257250","1992","Consumer Services","Rental/Leasing Companies","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STAN&selected=STAN",
"STLY","Stanley Furniture Company, Inc.","3.81","54654450","n/a","Consumer Durables","Home Furnishings","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STLY&selected=STLY",
"SPLS","Staples, Inc.","13.21","9420764340","1989","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SPLS&selected=SPLS",
"SBLK","Star Bulk Carriers Corp.","1.39","88139900","n/a","Transportation","Marine Transportation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SBLK&selected=SBLK",
"CIGX","Star Scientific, Inc.","3.1","416426100","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CIGX&selected=CIGX",
"SBUX","Starbucks Corporation","36.04","27015584000","1992","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SBUX&selected=SBUX",
"STFC","State Auto Financial Corporation","15.82","636106380","1991","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STFC&selected=STFC",
"STBC","State Bancorp, Inc.","11.11","188470040","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STBC&selected=STBC",
"STBZ","State Bank Financial Corporation.","14.24","450140640","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STBZ&selected=STBZ",
