HTB,HASTC,Huy Thang Construction Joint Stock Company
HTC,HASTC,HOCMON Trade Joint Stock Company
HTI,HOSE,Idico Infrastructure Development Investment Joint Stock Company
HTL,HOSE,Truong Long Engineering And Auto Joint Stock Company
HTP,HASTC,Hoa Phat Textbook Printing Joint Stock Company
HTV,HOSE,Ha Tien Transport Joint Stock Company
HU3,HOSE,HUD3 Investment And Construction Joint Stock Company
HUT,HASTC,Tasco Joint Stock Company
HVG,HOSE,Hung Vuong Corporation
HVT,HASTC,Viet Tri Chemical Joint Stock Company
HVX,HOSE,Hai Van Cement Joint Stock Company
ICF,HOSE,Investment Commerce Fisheries Corporation
ICG,HASTC,Song Hong Construction Joint Stock Company
IDJ,HASTC,IDJ International Financial Investment And Enterprise Development Joint Stock Company
IDV,HASTC,Vinh Phuc Infrastructure Development Joint Stock Company
IFS,HOSE,Interfood Shareholding Company
IJC,HOSE,Becamex Infrastructure Development Joint Stock Company
ILC,HASTC,International Labour and Services Stock Company
IMP,HOSE,Imexpharm Pharmaceutical Joint Stock Company
INN,HASTC,Agriculure Printing And Packaging Joint Stock Company
ITA,HOSE,Tan Tao Investment Industry Corporation
ITC,HOSE,Investment and Trading Of Real Estate Joint Stock Company
KAC,HOSE,Khang An Investment Real Estate Joint Stock Company
KBC,HOSE,KinhBac City Developement Share Holding Corporation
KBT,HASTC,Kien Giang Brick Tile Joint Stock Company
KDC,HOSE,Kinh Do Corporation
KDH,HOSE,Khang Dien House Trading and Investment Joint Stock Company
KHA,HOSE,Khanh Hoi Import Export Joint Stock Company
KHB,HASTC,Hoa Binh Mineral Joint Stock Company
KHP,HOSE,Khanh Hoa Power Joint Stock Company
KKC,HASTC,Produce and Trading Metal Joint Stock Company
KLS,HASTC,Kim Long Securities Corporation
KMF,HASTC,Mirae Fiber Joint Stock Fiber
KMR,HOSE,Mirae Joint Stock Company
KMT,HASTC,Central Vietnam Metal Corporation
KSA,HOSE,Binh Thuan Hamico Mineral Joint Stock Company
KSB,HOSE,Binh Duong Mineral And Construction Joint Stock Company
KSD,HASTC,South East Asia Hamico Export Joint Stock Company
KSH,HOSE,Ha Nam Mineral Joint Stock Company
KSS,HOSE,Nari Hamico Minerals Joint Stock Company
KST,HASTC,Kasati Joint Stock Company
KTB,HOSE,Tay Bac Minerals Investment Joint Stock Company
KTS,HASTC,KonTum Sugar Joint Stock Company
KTT,HASTC,
L10,HOSE,LILAMA 10 Joint Stock Company
L18,HASTC,Construction and Investment JSC No18
L35,HASTC,Erection Mechanical Joint Stock Company
L43,HASTC,Lilama 45.3 Joint Stock Company
L44,HASTC,Lilama 45.4 Joint Stock Company
L61,HASTC,Lilama 69-1 Joint Stock Company
L62,HASTC,LILAMA 69 - 2 Joint Stock company
LAF,HOSE,Long An Food Processing Export JSC
LBE,HASTC,Long An School Book and Equipment Joint Stock Company
LBM,HOSE,Lam Dong Building Material JSC
LCD,HASTC,LILAMA- Electromechanics Testing Joint Stock
LCG,HOSE,Licogi 16 Joint Stock Company
LCS,HASTC,Licogi 16.6 Joint Stock Company
LDP,HASTC,Lamdong Pharmaceutical Joint Stock Company
LGC,HOSE,LuGia Mechanical Electric JSC
LGL,HOSE,Long Giang Investment and Urban Development Joint-stock Company
LHC,HASTC,Lam Dong Investment Hydraulic Construction Joint Stock Company
LHG,HOSE,Long Hau Corporation
LIG,HASTC,Licogi 13 Joint Stock Company
LIX,HOSE,LIX Dettergent Joint Stock Company
LM3,HASTC,Lilama 3 Joint Stock Company
LM7,HASTC,Lilama 7 Joint Stock Company
LM8,HOSE,Lilama 18 Joint Stock Company
LO5,HASTC,Lilama 5 Joint Stock Company
LSS,HOSE,Lam Son Sugar Joint Stock Corporation
LTC,HASTC,Low Current - Telecom Joint Stock Company
LUT,HASTC,Luong Tai Construction Joint Stock Company
MAC,HASTC,Marine Supply And Engineering Service Joint Stock Company
MAFPF1,HOSE,Manulife Progressive Fund
MCC,HASTC,High – Grade Brick - Tile Co-Operation
MCF,HASTC,Mechanics Construction And Foodstuff Joint - Stock Company
MCG,HOSE,Vietnam Mechanization Electrification & Construction Joint Stock Company
MCL,HASTC,Chi Linh Building Materials And House Development Joint Stock Company
MCO,HASTC,MCO Vietnam Joint Stock Company
MCP,HOSE,My Chau Printing & Packaging Holdings Co
MCV,HOSE,Cavico Vietnam Mining and Construction JSC
MDC,HASTC,Vinacomin – Mong Duong Coal Joint Stock Company
MDG,HOSE,Mien Dong Joint Stock Company
MEC,HASTC,Song Da Someco Joint Stock Company
MHC,HOSE,Hanoi Maritime Holding Company
MHL,HASTC,Minh Huu Lien Joint Stock Company
MIC,HASTC,Quang Nam Mineral Industry Corporation
MIH,HASTC,Ha Nam Import Export Joint Stock Company JSC
MIM,HASTC,Mineral And Mechanical Joint Stock Company
MKP,HOSE,Mekophar Chemical Pharmaceutical Joint Stock Company
MKV,HASTC,CaiLay Veterinary Pharmaceutical Joint Stock Company
MMC,HASTC,Manganese Mineral Joint Stock Company
MNC,HASTC,MaiLinh Corporation In Northern Central
MPC,HOSE,Minh Phu Seafood Joint Stock Company
MSN,HOSE,Masan Group Corp
MTG,HOSE,MT GAS Holding
NAG,HASTC,Nagakawa Vietnam Joint Stock Company
NAV,HOSE,Nam Viet Joint Stock Company
NBB,HOSE,NBB Investment Corporation
NBC,HASTC,Vinacomin - Nui Beo Coal Joint Stock Company
NBP,HASTC,Ninh Binh Thermal Power Joint Stock Company
NDN,HASTC,Danang Housing Investment and Development Joint Stock Company
NET,HASTC,Net Detergent Join Stock Company
NGC,HASTC,Ngo Quyen Processing Export Joint Stock Company
NHA,HASTC,Ha Noi South Housing And Urban Development Corporation
NHC,HASTC,Nhi Hiep Brick-Tile Joint Stock Company
NHS,HOSE,Ninh Hoa Sugar Joint Stock Company
NHW,HOSE,Ngo Han Joint Stock Company
NIS,HASTC,Network Infrastructure Services Joint Stock Company
NKD,HOSE,North Kinhdo Food Joint-stock Company
NKG,HOSE,Nam Kim Steel Joint Stock Company
NLC,HASTC,NaLoi Hydropower Joint stock Company
NNC,HOSE,Nui Nho Stone Co-operation
NPS,HASTC,Phu Thinh - Nha Be Garment Joint-Stock Company
NSC,HOSE,National Seed JSC
NSN,HASTC,565 Construction Joint Stock Company
NST,HASTC,Ngan Son Joint Stock Company
NTB,HOSE,Transport Engineering Construction And Business Investment Stock Company 584
NTL,HOSE,Tu Liem Urban Development Joint Stock Company
NTP,HASTC,Tien Phong Plastics Joint Stock Company
NVB,HASTC,Nam Viet Commercial Joint Stock Bank
NVC,HASTC,Nam Vang Corporation
NVN,HOSE,House Viet Nam Joint Stock Company
NVT,HOSE,Ninh Van Bay Travel Real Estate Joint Stock Company
OCH,HASTC,Ocean Hospitality And Service Joint Stock Company
OGC,HOSE,"Ocean Group.,JSC"
ONE,HASTC,ONE Corporation
OPC,HOSE,OPC Pharmaceutical Joint Stock Company
ORS,HASTC,Orient Securities Corporation
PAC,HOSE,Dry Cell and Storage Battery Joint Stock Company
PAN,HOSE,Pan Pacific Corporation
PCG,HASTC,PetroVietNam Gas City Investment And Development Joint Stock Company
PDC,HASTC,Phuong Dong Petroleum Tourism Joint Stock Company
PDR,HOSE,Phat Dat Real Estate Development Corporation
PET,HOSE,Petrovietnam General Services Js Corporation
PFL,HASTC,Petro Vietnam Finance Land Joint Stock Company
PGC,HOSE,Petrolimex Gas Joint Stock Company
PGD,HOSE,Petro Vietnam Low Pressure Gas Distribution Joint Stock Company
PGS,HASTC,PetroVietnam Southern Gas Joint Stock Company
PGT,HASTC,Saigon Petrolimex Gas Taxi Joint Stock Company
PHC,HASTC,Phuc Hung Holdings Construction Joint Stock Company
PHH,HASTC,Hong Ha Petroleum Joint Stock Company.
PHR,HOSE,Phuoc Hoa Rubber Joint Stock Company
PHS,HASTC,Fortune Securities Corporation
PHT,HOSE,Phuc Tien Trade-Manufacture Joint Stock Company
PIT,HOSE,Petrolimex International Trading Joint Stock Company
PIV,HASTC,PIV Petro Investment And Valuation Joint Stock Company
PJC,HASTC,Petrolimex Ha Noi Transportation and Trading Joint-Stock Company.
PJT,HOSE,Petrolimex Joint Stock Tanker Company
PLC,HASTC,Petrolimex Petrochemical Joint Stock Company
PMC,HASTC,Pharmedic Pharmaceutical Medicinal Joint Stock Company.
PMS,HASTC,Petroleum Mechanical Stock Company
PNC,HOSE,Phuong Nam Cultural Joint Stock Corporation
PNJ,HOSE,Phu Nhuan Jewelry Joint Stock Company
POM,HOSE,Pomina Steel Corporation
POT,HASTC,Post and Telecommunication Equipment Factory
PPC,HOSE,Pha Lai Thermal Power Joint Stock Company
PPG,HASTC,Phu Phong Corporation
PPI,HOSE,Pacific Property And Infrastructure Developement Joint Stock Company
PPS,HASTC,PetroVietnam Power Services Joint Stock Company
PRC,HASTC,Portserco Joint Stock Company
PRUBF1,HOSE,Prudential Balanced Fund
PSC,HASTC,Sai Gon Petrolimex Transportation and Service Joint Stock Company
PSG,HASTC,Saigon Petroleum Construction And Investment Joint Stock Company
PSI,HASTC,Petrovietnam Securities Incorporated
PTC,HOSE,Post and Telecommunications Investment and Construction JSC
PTI,HASTC,Post & Telecommunication Joint Stock Insurance Corporation
PTL,HOSE,Petro Capital Infrastructure Investment Joint Stock Company
PTM,HASTC,The Precision Tools and CNC Machine JSC
PTS,HASTC,Hai Phong Petrolimex Transportation and Services Joint Stock Company
